state,population
ALABAMA,4903185
ALASKA,731545
ARIZONA,7278717
ARKANSAS,3017804
CALIFORNIA,39512223
COLORADO,5758736
CONNECTICUT,3565287
DELAWARE,973764
DISTRICT OF COLUMBIA,705749
FLORIDA,21477737
GEORGIA,10617423
HAWAII,1415872
IDAHO,1787065
ILLINOIS,12671821
INDIANA,6732219
IOWA,3155070
KANSAS,2913314
KENTUCKY,4467673
LOUISIANA,4648794
MAINE,1344212
MARYLAND,6045680
MASSACHUSETTS,6892503
MICHIGAN,9986857
MINNESOTA,5639632
MISSISSIPPI,2976149
MISSOURI,6137428
MONTANA,1068778
NEBRASKA,1934408
NEVADA,3080156
NEW HAMPSHIRE,1359711
NEW JERSEY,8882190
NEW MEXICO,2096829
NEW YORK,19453561
NORTH CAROLINA,10488084
NORTH DAKOTA,762062
OHIO,11689100
OKLAHOMA,3956971
OREGON,4217737
PENNSYLVANIA,12801989
RHODE ISLAND,1059361
SOUTH CAROLINA,5148714
SOUTH DAKOTA,884659
TENNESSEE,6829174
TEXAS,28995881
UTAH,3205958
VERMONT,623989
VIRGINIA,8535519
WASHINGTON,7614893
WEST VIRGINIA,1792147
WISCONSIN,5822434
WYOMING,578759
